학년도,시도,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수
학년도,시도,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교
학년도,시도,계,초등학교,중학교,계,인문계고,전문계고,일반고,특목고,특성화고,자율고,계,초등학교,중학교,계,일반계고,전문계고,일반고,특목고,특성화고,자율고,계,초등학교,중학교,계,인문계고,전문계고,일반고,특목고,특성화고,자율고
1999,전국,1,0.3,0.9,2.1,1.2,3.7,0,0,0,0,77795,12846,16997,47952,16203,31749,0,0,0,0,8083633,3935537,1896956,2251140,1399389,851751,0,0,0,0
2000,전국,1.1,0.4,1,2.5,1.4,4.4,0,0,0,0,85072,14734,18810,51528,18632,32896,0,0,0,0,7951998,4019991,1860539,2071468,1324482,746986,0,0,0,0
2001,전국,1.1,0.4,1.1,2.5,1.6,4.3,0,0,0,0,85431,18170,19606,47655,19919,27736,0,0,0,0,7831754,4089429,1831152,1911173,1259975,651198,0,0,0,0
2002,전국,0.9,0.5,0.9,2.1,1.4,3.7,0,0,0,0,72904,18956,15753,38195,16880,21315,0,0,0,0,7774905,4138366,1841030,1795509,1220146,575363,0,0,0,0
2003,전국,0.9,0.7,0.7,1.6,0.9,3.2,0,0,0,0,70962,30056,13276,27630,10485,17145,0,0,0,0,7796796,4175626,1854641,1766529,1224452,542077,0,0,0,0
2004,전국,0.7,0.4,0.7,1.4,0.8,2.8,0,0,0,0,54995,16793,14165,24037,9427,14610,0,0,0,0,7796298,4116195,1933543,1746560,1232010,514550,0,0,0,0
2005,전국,0.7,0.5,0.8,1.3,0.8,2.6,0,0,0,0,57148,18403,15669,23076,10166,12910,0,0,0,0,7796401,4022801,2010704,1762896,1259792,503104,0,0,0,0
2006,전국,0.9,0.6,0.9,1.6,1,3.1,0,0,0,0,70796,23898,18968,27930,12616,15314,0,0,0,0,7776211,3925043,2075311,1775857,1281508,494349,0,0,0,0
2007,전국,1,0.5,1,1.8,1.1,3.5,0,0,0,0,73494,20450,20101,32943,15477,17466,0,0,0,0,7734531,3829998,2063159,1841374,1347363,494011,0,0,0,0
2008,전국,0.9,0.5,1,1.8,1.1,3.8,0,0,0,0,71769,17644,19675,34450,16145,18305,0,0,0,0,7617796,3672207,2038611,1906978,1419486,487492,0,0,0,0
2009,전국,0.8,0.3,0.8,1.8,1.2,3.6,0,0,0,0,61910,11634,15736,34540,17419,17121,0,0,0,0,7447159,3474395,2006972,1965792,1484966,480826,0,0,0,0
2010,전국,1.1,0.6,1,2,0,0,0,0,0,0,76589,18836,18866,38887,0,0,21808,1268,14140,1671,7236248,3299094,1974798,1962356,1496227,466129,0,0,0,0
2011,전국,1.1,0.6,0.9,1.9,0,0,1.5,1.9,3.8,1.8,74365,19163,17811,37391,0,0,21198,1217,12926,2050,6986847,3132477,1910572,1943798,0,0,1425882,63727,340227,113962
2012,전국,1,0.6,0.9,1.8,0,0,1.5,1.7,3.4,1.3,68188,16828,16426,34934,0,0,20772,1114,11238,1810,6721176,2951995,1849094,1920087,0,0,1381130,64468,330797,143692
2013,전국,0.9,0.6,0.8,1.6,0,0,1.4,1.2,2.7,1,60568,15908,14278,30382,0,0,19224,804,8782,1572,6481492,2784000,1804189,1893303,0,0,1356070,67099,320374,149760
2014,전국,0.8,0.5,0.7,1.4,0,0,1.2,1.3,2.3,0.9,51906,14886,11702,25318,0,0,15951,894,7186,1287,6285792,2728509,1717911,1839372,0,0,1314073,66928,313449,144922
2015,전국,0.8,0.5,0.6,1.3,0,0,1.1,1.1,2.2,0.8,47070,14555,9961,22554,0,0,13946,765,6652,1191,6088827,2714610,1585951,1788266,0,0,1278008,67529,302021,140708
2016,전국,0.8,0.6,0.6,1.4,0,0,1.2,1.1,2.3,0.9,47663,14998,8924,23741,0,0,14924,753,6807,1257,5882790,2672843,1457490,1752457,0,0,1256108,67607,290632,138110
2017,전국,0.9,0.6,0.7,1.5,0,0,1.3,1.3,2.7,0.9,50057,16422,9129,24506,0,0,15069,866,7301,1270,5725260,2674227,1381334,1669699,0,0,1193562,67960,274281,133896
2018,전국,0.9,0.7,0.7,1.6,0,0,1.3,1.4,3.2,1.1,52539,17797,9764,24978,0,0,14677,915,8052,1334,5584249,2711385,1334288,1538576,0,0,1096331,66693,252260,123292
2019,전국,1,0.7,0.8,1.7,0,0,1.4,1.5,3.4,1.1,52261,18366,10001,23894,0,0,13791,961,7927,1215,5452805,2747219,1294559,1411027,0,0,1001756,65244,230098,113929
1999,서울,1.3,0.5,1.3,2.5,1.4,5.1,0,0,0,0,21323,3897,4951,12475,5160,7315,0,0,0,0,1646922,753606,390220,503096,358908,144188,0,0,0,0
2000,서울,1.5,0.6,1.6,2.9,1.8,6.1,0,0,0,0,23909,4632,5955,13322,6169,7153,0,0,0,0,1588116,759443,375605,453068,335684,117384,0,0,0,0
2001,서울,1.5,0.7,1.8,2.8,2,5.6,0,0,0,0,23126,5182,6389,11555,6287,5268,0,0,0,0,1537996,762967,364688,410341,316836,93505,0,0,0,0
2002,서울,1.3,0.7,1.4,2.4,1.7,4.7,0,0,0,0,19755,5622,5228,8905,5063,3842,0,0,0,0,1498641,759229,361244,378168,296570,81598,0,0,0,0
2003,서울,1,0.7,1.1,1.5,0.8,4.1,0,0,0,0,15150,5589,4021,5540,2398,3142,0,0,0,0,1485023,759010,359457,366556,289783,76773,0,0,0,0
2004,서울,0.9,0.6,1.1,1.4,0.8,4.1,0,0,0,0,13524,4200,4198,5126,2168,2958,0,0,0,0,1463418,736710,370551,356157,283748,72409,0,0,0,0
2005,서울,1,0.7,1.3,1.3,0.8,3.5,0,0,0,0,14353,4834,4937,4582,2167,2415,0,0,0,0,1443347,711136,379188,353023,283153,69870,0,0,0,0
2006,서울,1.2,1,1.5,1.5,0.9,3.8,0,0,0,0,17573,6639,5722,5212,2623,2589,0,0,0,0,1423300,689169,384977,349154,280429,68725,0,0,0,0
2007,서울,1.2,0.8,1.5,1.7,1.2,3.9,0,0,0,0,16723,5103,5563,6057,3416,2641,0,0,0,0,1396357,665227,375937,355193,288069,67124,0,0,0,0
2008,서울,1.2,0.8,1.5,1.6,1.1,3.8,0,0,0,0,16255,5132,5324,5799,3385,2414,0,0,0,0,1361007,633486,365579,361942,297663,64279,0,0,0,0
2009,서울,1,0.6,1.1,1.5,1.2,3.3,0,0,0,0,13381,3718,4048,5615,3606,2009,0,0,0,0,1322427,598514,355838,368075,306603,61472,0,0,0,0
2010,서울,1.5,1.2,1.4,2,0,0,0,0,0,0,18578,6542,4770,7266,0,0,4269,192,1881,924,1274028,566149,345413,362466,303609,58857,0,0,0,0
2011,서울,1.5,1.2,1.4,1.9,0,0,1.9,1.2,2.6,1.5,17924,6425,4653,6846,0,0,4440,176,1458,772,1219799,535948,330219,353632,0,0,233738,14208,55630,50056
2012,서울,1.4,1.1,1.3,1.9,0,0,1.9,1,2.4,1.2,16126,5671,4028,6427,0,0,4429,144,1265,589,1161632,502000,315241,344391,0,0,229293,13917,53500,47681
2013,서울,1.3,1.1,1.2,1.7,0,0,1.8,0.8,1.7,1.2,14134,4948,3561,5625,0,0,4100,119,866,540,1107766,469392,304251,334123,0,0,225493,14058,50768,43804
2014,서울,1.2,1,1,1.5,0,0,1.5,1,1.7,1.1,12384,4696,2981,4707,0,0,3291,139,829,448,1064741,457517,286826,320398,0,0,215311,13452,49692,41943
2015,서울,1.1,1,1,1.4,0,0,1.4,1.2,1.5,1.1,11144,4437,2532,4175,0,0,2824,150,749,452,1022447,450675,263466,308306,0,0,204931,12904,49110,41361
2016,서울,1.1,1,0.9,1.4,0,0,1.5,0.9,1.7,1.2,10950,4412,2228,4310,0,0,2912,123,809,466,975589,436121,239912,299556,0,0,198374,13166,47915,40101
2017,서울,1.2,1.1,1,1.6,0,0,1.6,1.2,2.3,1.2,11546,4686,2329,4531,0,0,2845,156,1057,473,938302,428333,227001,282968,0,0,183526,12813,46734,39895
2018,서울,1.3,1.1,1.1,1.8,0,0,1.7,1.3,2.9,1.3,11837,4792,2423,4622,0,0,2731,157,1259,475,900684,424800,216330,259554,0,0,165341,12477,43912,37824
2019,서울,1.4,1.2,1.2,1.8,0,0,1.6,1.5,3.2,1.4,11886,5154,2414,4318,0,0,2344,186,1308,480,866395,422293,207413,236689,0,0,148956,12342,41265,34126
1999,부산,0.9,0.4,0.8,1.7,0.8,2.9,0,0,0,0,5696,1055,1290,3351,933,2418,0,0,0,0,651386,294705,158297,198384,115870,82514,0,0,0,0
2000,부산,1,0.3,0.9,2.2,0.9,4.1,0,0,0,0,6028,843,1303,3882,911,2971,0,0,0,0,622967,294929,150783,177255,105364,71891,0,0,0,0
2001,부산,1,0.3,0.9,2.4,1.1,4.4,0,0,0,0,6072,1023,1280,3769,1055,2714,0,0,0,0,598108,293685,144935,159488,98042,61446,0,0,0,0
2002,부산,0.9,0.5,0.7,1.9,0.9,3.6,0,0,0,0,5156,1380,1028,2748,817,1931,0,0,0,0,581203,291342,143244,146617,93058,53559,0,0,0,0
2003,부산,0.9,0.7,0.5,1.6,0.6,3.3,0,0,0,0,4866,1975,705,2186,545,1641,0,0,0,0,570116,288174,141010,140932,91034,49898,0,0,0,0
2004,부산,0.7,0.5,0.5,1.3,0.5,2.8,0,0,0,0,3923,1387,761,1775,459,1316,0,0,0,0,559176,277769,144092,137315,90455,46860,0,0,0,0
2005,부산,0.6,0.4,0.5,1.2,0.6,2.5,0,0,0,0,3463,1060,765,1638,516,1122,0,0,0,0,548215,265083,146491,136641,91584,45057,0,0,0,0
2006,부산,0.8,0.4,0.8,1.5,0.7,3.2,0,0,0,0,4213,1035,1158,2020,629,1391,0,0,0,0,536281,252856,148618,134807,90907,43900,0,0,0,0
2007,부산,0.9,0.5,0.8,1.7,0.9,3.6,0,0,0,0,4713,1139,1199,2375,863,1512,0,0,0,0,524460,242193,144991,137276,94999,42277,0,0,0,0
2008,부산,0.9,0.4,0.8,1.8,0.8,4.4,0,0,0,0,4659,937,1176,2546,801,1745,0,0,0,0,506541,227494,139913,139134,99229,39905,0,0,0,0
2009,부산,0.8,0.2,0.8,1.7,0.9,3.9,0,0,0,0,3892,446,1033,2413,976,1437,0,0,0,0,486425,210826,134976,140623,103684,36939,0,0,0,0
2010,부산,0.9,0.3,0.8,1.9,0,0,0,0,0,0,4290,649,1089,2552,0,0,992,146,1318,96,463347,197397,129285,136665,102206,34459,0,0,0,0
2011,부산,1,0.4,0.9,2,0,0,1.1,1.8,4.8,1.2,4439,754,1104,2581,0,0,959,131,1372,119,438795,184983,121918,131894,0,0,85906,7484,28877,9627
2012,부산,1,0.4,0.9,1.9,0,0,1.2,1.3,4.3,1.1,4011,622,1012,2377,0,0,983,98,1162,134,413989,172069,114936,126984,0,0,79841,7778,27300,12065
2013,부산,0.9,0.4,0.8,1.6,0,0,1.2,1.3,3.3,0.6,3518,716,865,1937,0,0,896,101,866,74,393335,160821,110454,122060,0,0,75614,7700,26100,12646
2014,부산,0.8,0.4,0.6,1.4,0,0,1.1,1.1,2.8,0.5,2926,686,670,1570,0,0,760,86,662,62,375462,155754,104128,115580,0,0,72175,8166,23838,11401
2015,부산,0.7,0.4,0.6,1.4,0,0,0.9,1.2,3.2,0.6,2644,618,532,1494,0,0,606,92,734,62,359076,154283,95020,109773,0,0,68119,7853,22823,10978
2016,부산,0.7,0.5,0.6,1.2,0,0,0.9,0.9,2.4,0.7,2459,693,499,1267,0,0,599,68,530,70,343650,151207,86650,105793,0,0,65353,7718,21993,10729
2017,부산,0.8,0.5,0.6,1.4,0,0,1,1.3,3.1,0.6,2679,760,477,1442,0,0,637,99,644,62,331244,150863,80719,99662,0,0,61104,7607,20771,10180
2018,부산,0.9,0.5,0.7,1.7,0,0,1.2,1.5,3.8,0.8,2857,805,501,1551,0,0,674,111,692,74,320463,152775,77021,90667,0,0,55440,7476,18447,9304
2019,부산,0.8,0.5,0.7,1.6,0,0,1.1,1.5,3.6,0.7,2609,786,495,1328,0,0,562,102,604,60,311059,155589,73338,82132,0,0,50304,6872,16561,8395
1999,대구,0.6,0.2,0.6,1.3,0.7,2.4,0,0,0,0,2744,346,657,1741,578,1163,0,0,0,0,448751,212182,106595,129974,80994,48980,0,0,0,0
2000,대구,0.7,0.3,0.7,1.6,0.9,2.9,0,0,0,0,3166,586,699,1881,674,1207,0,0,0,0,439830,216465,105198,118167,76716,41451,0,0,0,0
2001,대구,0.7,0.3,0.7,1.7,1,3.1,0,0,0,0,3168,593,747,1828,767,1061,0,0,0,0,431703,220063,103813,107827,73112,34715,0,0,0,0
2002,대구,0.6,0.3,0.5,1.5,1,2.7,0,0,0,0,2650,600,552,1498,709,789,0,0,0,0,427769,221083,105561,101125,71435,29690,0,0,0,0
2003,대구,0.7,0.7,0.4,1.1,0.7,2.3,0,0,0,0,3073,1522,409,1142,496,646,0,0,0,0,430318,223849,106094,100375,72694,27681,0,0,0,0
2004,대구,0.4,0.2,0.4,0.9,0.5,2.1,0,0,0,0,1883,484,462,937,408,529,0,0,0,0,430862,220612,110385,99865,74566,25299,0,0,0,0
2005,대구,0.5,0.3,0.5,0.9,0.6,1.8,0,0,0,0,2192,683,568,941,495,446,0,0,0,0,427666,213212,112661,101793,77245,24548,0,0,0,0
2006,대구,0.6,0.4,0.6,1.2,0.8,2.6,0,0,0,0,2728,824,691,1213,593,620,0,0,0,0,423081,205658,115325,102098,78017,24081,0,0,0,0
2007,대구,0.7,0.4,0.7,1.4,0.9,3.3,0,0,0,0,3002,705,784,1513,704,809,0,0,0,0,418829,199471,113962,105396,81133,24263,0,0,0,0
2008,대구,0.7,0.3,0.6,1.4,0.8,3.6,0,0,0,0,2746,512,721,1513,644,869,0,0,0,0,409920,189585,112708,107627,83399,24228,0,0,0,0
2009,대구,0.6,0.2,0.5,1.3,0.7,3.6,0,0,0,0,2379,340,577,1462,614,848,0,0,0,0,398723,178029,110449,110245,86544,23701,0,0,0,0
2010,대구,0.7,0.4,0.6,1.4,0,0,0,0,0,0,2834,628,689,1517,0,0,631,58,698,130,384930,167548,108082,109300,86514,22786,0,0,0,0
2011,대구,0.8,0.4,0.6,1.6,0,0,0.9,2.1,4.2,1.3,2931,601,615,1715,0,0,638,76,798,203,368376,157693,102493,108190,0,0,70489,3556,18850,15295
2012,대구,0.8,0.3,0.6,1.5,0,0,0.9,1.9,4.2,0.8,2683,479,576,1628,0,0,590,63,821,154,351183,146899,98316,105968,0,0,63517,3329,19760,19362
2013,대구,0.7,0.4,0.5,1.4,0,0,0.8,1.6,3.4,0.9,2379,478,496,1405,0,0,517,56,658,174,334369,136309,94394,103666,0,0,62136,3409,19114,19007
2014,대구,0.6,0.3,0.4,1.2,0,0,0.7,3,3,0.6,1950,394,374,1182,0,0,408,102,556,116,319972,131765,89291,98916,0,0,59025,3394,18336,18161
2015,대구,0.6,0.3,0.4,1.2,0,0,0.6,1.9,3.3,0.6,1750,358,293,1099,0,0,366,75,553,105,305764,129583,80982,95199,0,0,56869,3964,16894,17472
2016,대구,0.7,0.4,0.4,1.4,0,0,0.8,2.5,3.8,0.6,1994,465,273,1256,0,0,436,99,619,102,291370,125541,73925,91904,0,0,54753,3963,16261,16927
2017,대구,0.7,0.4,0.4,1.3,0,0,0.8,2,3.5,0.7,1948,493,292,1163,0,0,437,89,523,114,280265,124708,68893,86664,0,0,51583,4464,14738,15879
2018,대구,0.7,0.4,0.5,1.4,0,0,1,2,3.4,0.7,1936,530,311,1095,0,0,453,85,458,99,269570,125160,66165,78245,0,0,47038,4327,13462,13418
2019,대구,0.7,0.4,0.6,1.5,0,0,1,2.2,3.5,1,1933,535,351,1047,0,0,409,91,431,116,259606,126122,62539,70945,0,0,42377,4150,12280,12138
1999,인천,0.9,0.3,0.9,2,0.8,3.8,0,0,0,0,3914,683,941,2290,524,1766,0,0,0,0,460440,240782,105634,114024,68128,45896,0,0,0,0
2000,인천,1,0.3,0.9,2.6,1,5,0,0,0,0,4440,696,982,2762,706,2056,0,0,0,0,459449,245716,105546,108187,67455,40732,0,0,0,0
2001,인천,1,0.4,1,2.3,1.1,4.3,0,0,0,0,4373,999,1014,2360,737,1623,0,0,0,0,459966,250264,106012,103690,66138,37552,0,0,0,0
2002,인천,0.8,0.4,0.8,1.9,1,3.8,0,0,0,0,3655,906,827,1922,658,1264,0,0,0,0,457562,250477,107810,99275,66210,33065,0,0,0,0
2003,인천,0.9,0.8,0.5,1.4,0.8,2.9,0,0,0,0,3968,1980,555,1433,526,907,0,0,0,0,455572,247046,109493,99033,67723,31310,0,0,0,0
2004,인천,0.6,0.4,0.7,1.2,0.8,2.2,0,0,0,0,2921,855,856,1210,569,641,0,0,0,0,451730,238650,114670,98410,69291,29119,0,0,0,0
2005,인천,0.7,0.5,0.8,1.3,0.9,2.2,0,0,0,0,3229,1041,933,1255,643,612,0,0,0,0,449663,230067,119834,99762,71397,28365,0,0,0,0
2006,인천,0.8,0.6,0.8,1.4,0.9,2.8,0,0,0,0,3676,1300,926,1450,667,783,0,0,0,0,447177,222154,123135,101888,73911,27977,0,0,0,0
2007,인천,0.9,0.4,0.9,1.8,1.3,3.5,0,0,0,0,4043,966,1107,1970,989,981,0,0,0,0,443036,214671,121864,106501,78812,27689,0,0,0,0
2008,인천,1,0.4,1.1,1.8,1.2,3.8,0,0,0,0,4153,856,1252,2045,1057,988,0,0,0,0,436177,205781,118916,111480,85202,26278,0,0,0,0
2009,인천,0.9,0.3,0.8,1.8,1.4,3.5,0,0,0,0,3664,579,974,2111,1204,907,0,0,0,0,422790,193210,115198,114382,88745,25637,0,0,0,0
2010,인천,1,0.5,1,1.9,0,0,0,0,0,0,4180,843,1138,2199,0,0,1252,80,858,9,408650,183261,112142,113247,88776,24471,0,0,0,0
2011,인천,1,0.5,1,1.8,0,0,1.4,1.4,2.9,7.6,3810,812,1058,1940,0,0,1132,47,667,94,391241,173598,107234,110409,0,0,83164,3370,22642,1233
2012,인천,0.9,0.4,0.9,1.6,0,0,1.4,1.7,2.3,1.9,3328,720,890,1718,0,0,1083,63,486,86,376113,164928,103593,107592,0,0,78054,3708,21356,4474
2013,인천,0.8,0.5,0.7,1.5,0,0,1.3,0.8,2.3,1.4,3035,724,743,1568,0,0,962,35,494,77,364004,157918,100776,105310,0,0,74064,4247,21308,5691
2014,인천,0.7,0.4,0.6,1.3,0,0,1,0.9,2.3,1.1,2485,620,559,1306,0,0,725,36,487,58,354743,156740,96490,101513,0,0,70605,3965,21433,5510
2015,인천,0.7,0.5,0.5,1.1,0,0,0.8,0.9,2.1,0.8,2266,709,481,1076,0,0,542,35,456,43,345200,157099,89337,98764,0,0,67867,3767,21527,5603
2016,인천,0.7,0.4,0.6,1.3,0,0,0.9,0.9,2.6,0.9,2346,636,476,1234,0,0,606,35,538,55,335022,155590,82893,96539,0,0,66037,3860,20841,5801
2017,인천,0.7,0.5,0.7,1.3,0,0,1,0.9,2.3,0.8,2441,737,516,1188,0,0,648,36,456,48,327491,156470,78826,92195,0,0,62937,3902,19577,5779
2018,인천,0.8,0.5,0.7,1.6,0,0,1.2,0.8,3.2,0.9,2701,811,566,1324,0,0,680,32,561,51,320352,158871,76565,84916,0,0,57704,3916,17788,5508
2019,인천,0.9,0.6,0.7,1.6,0,0,1.2,1.1,3.2,1,2690,932,523,1235,0,0,638,41,503,53,313712,160853,74458,78401,0,0,53294,3865,15904,5338
1999,광주,1,0.2,0.9,2.3,1,4.9,0,0,0,0,2548,239,564,1745,528,1217,0,0,0,0,257298,121810,60140,75348,50671,24677,0,0,0,0
2000,광주,1,0.3,0.9,2.4,1.5,4.5,0,0,0,0,2668,434,553,1681,689,992,0,0,0,0,254330,126820,58783,68727,46736,21991,0,0,0,0
2001,광주,0.9,0.3,1,2.1,1.5,3.5,0,0,0,0,2262,339,604,1319,648,671,0,0,0,0,252501,131416,58350,62735,43398,19337,0,0,0,0
2002,광주,0.8,0.3,0.7,2,1.4,3.6,0,0,0,0,1992,412,402,1178,569,609,0,0,0,0,253850,135584,59823,58443,41347,17096,0,0,0,0
2003,광주,0.8,0.5,0.5,1.7,1,3.7,0,0,0,0,2019,704,329,986,403,583,0,0,0,0,257353,138644,61201,57508,41613,15895,0,0,0,0
2004,광주,0.6,0.3,0.5,1.5,1,3.1,0,0,0,0,1606,369,355,882,416,466,0,0,0,0,260297,138670,64660,56967,41740,15227,0,0,0,0
2005,광주,0.6,0.2,0.6,1.4,0.8,2.9,0,0,0,0,1476,285,397,794,346,448,0,0,0,0,262302,136309,67938,58055,42843,15212,0,0,0,0
2006,광주,0.7,0.3,0.7,1.7,1.2,3.1,0,0,0,0,1929,458,480,991,512,479,0,0,0,0,263815,134192,70639,58984,43691,15293,0,0,0,0
2007,광주,0.8,0.3,0.7,2.1,1.3,4.5,0,0,0,0,2246,446,496,1304,599,705,0,0,0,0,265398,132619,71033,61746,46071,15675,0,0,0,0
2008,광주,0.8,0.3,0.7,2.1,1.2,4.9,0,0,0,0,2199,323,506,1370,608,762,0,0,0,0,263209,127758,71092,64359,48714,15645,0,0,0,0
